obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
60;9;20.000;33;27.500;64;30.476;49;19.444;17;8.095;0;0.000;0;0.000;0;0.000;0;0.000;172;16.979
63;4;8.889;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
64;2;4.444;3;2.500;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
66;5;11.111;3;2.500;3;1.429;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
68;8;17.778;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
78;2;4.444;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
81;10;22.222;18;15.000;30;14.286;33;13.095;26;12.381;4;3.333;0;0.000;0;0.000;0;0.000;121;11.945
83;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
85;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
86;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
88;7;15.556;11;9.167;28;13.333;16;6.349;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;63;6.219
89;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
92;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
93;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
97;4;8.889;11;9.167;19;9.048;6;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;40;3.949
98;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
100;3;6.667;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
101;4;8.889;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
104;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
105;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
107;8;17.778;12;10.000;10;4.762;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;32;3.159
108;3;6.667;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
109;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
113;4;8.889;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
