obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
131;13;19.697;41;18.636;50;10.101;19;2.399;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;126;3.086
132;12;18.182;52;23.636;89;17.980;97;12.247;42;4.545;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;296;7.250
134;13;19.697;20;9.091;45;9.091;51;6.439;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;131;3.208
135;31;46.970;119;54.091;306;61.818;539;68.056;618;66.883;520;65.657;371;74.949;180;81.818;53;80.303;10;83.333;1;100.000;2748;67.303
136;21;31.818;82;37.273;182;36.768;336;42.424;463;50.108;462;58.333;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2108;51.629
137;4;6.061;8;3.636;12;2.424;18;2.273;26;2.814;15;1.894;10;2.020;4;1.818;0;0.000;0;0.000;0;0.000;97;2.376
138;27;40.909;49;22.273;77;15.556;120;15.152;168;18.182;95;11.995;6;1.212;0;0.000;0;0.000;0;0.000;0;0.000;542;13.275
139;10;15.152;6;2.727;7;1.414;13;1.641;9;0.974;6;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;51;1.249
140;31;46.970;92;41.818;151;30.505;265;33.460;357;38.636;305;38.510;125;25.253;8;3.636;0;0.000;0;0.000;0;0.000;1334;32.672
141;22;33.333;76;34.545;163;32.929;247;31.187;304;32.900;302;38.131;199;40.202;84;38.182;18;27.273;0;0.000;0;0.000;1415;34.656
142;31;46.970;116;52.727;244;49.293;408;51.515;554;59.957;474;59.848;330;66.667;159;72.273;51;77.273;10;83.333;1;100.000;2378;58.241
143;23;34.848;47;21.364;89;17.980;109;13.763;120;12.987;57;7.197;60;12.121;0;0.000;0;0.000;0;0.000;0;0.000;505;12.368
