obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
419;11;16.667;30;13.636;61;12.323;70;8.838;54;5.844;24;3.030;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;255;6.245
420;4;6.061;10;4.545;14;2.828;22;2.778;25;2.706;25;3.157;13;2.626;5;2.273;0;0.000;0;0.000;0;0.000;118;2.890
421;5;7.576;14;6.364;6;1.212;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;27;0.661
422;18;27.273;60;27.273;123;24.848;123;15.530;62;6.710;22;2.778;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;413;10.115
423;7;10.606;40;18.182;114;23.030;214;27.020;285;30.844;254;32.071;167;33.737;73;33.182;23;34.848;3;25.000;0;0.000;1180;28.900
424;5;7.576;6;2.727;6;1.212;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;0.490
425;2;3.030;5;2.273;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
426;5;7.576;2;0.909;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
427;13;19.697;54;24.545;143;28.889;231;29.167;257;27.814;178;22.475;87;17.576;24;10.909;3;4.545;0;0.000;0;0.000;990;24.247
428;14;21.212;33;15.000;74;14.949;99;12.500;95;10.281;49;6.187;13;2.626;0;0.000;0;0.000;0;0.000;0;0.000;377;9.233
429;6;9.091;17;7.727;43;8.687;53;6.692;34;3.680;12;1.515;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;167;4.090
430;3;4.545;7;3.182;10;2.020;5;0.631;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;27;0.661
