obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
369;11;16.667;52;23.636;139;28.081;188;23.737;233;25.216;143;18.056;25;5.051;3;1.364;0;0.000;0;0.000;0;0.000;794;19.446
371;1;1.515;3;1.364;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
372;1;1.515;0;0.000;2;0.404;0;0.000;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
373;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
374;2;3.030;2;0.909;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
375;7;10.606;11;5.000;7;1.414;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;25;0.612
376;11;16.667;36;16.364;53;10.707;24;3.030;25;2.706;33;4.167;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;186;4.555
377;0;0.000;3;1.364;3;0.606;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
378;7;10.606;13;5.909;9;1.818;13;1.641;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;44;1.078
379;14;21.212;56;25.455;127;25.657;119;15.025;127;13.745;166;20.960;52;10.505;19;8.636;0;0.000;0;0.000;0;0.000;680;16.654
380;25;37.879;88;40.000;212;42.828;335;42.298;404;43.723;386;48.737;251;50.707;96;43.636;41;62.121;10;83.333;1;100.000;1849;45.285
381;13;19.697;60;27.273;131;26.465;192;24.242;283;30.628;183;23.106;38;7.677;4;1.818;1;1.515;0;0.000;0;0.000;905;22.165
383;9;13.636;13;5.909;22;4.444;24;3.030;7;0.758;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;79;1.935
