obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
349;12;26.667;28;23.333;45;21.429;28;11.111;11;5.238;1;0.833;0;0.000;0;0.000;0;0.000;125;12.340
350;5;11.111;7;5.833;4;1.905;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
351;7;15.556;22;18.333;43;20.476;61;24.206;41;19.524;15;12.500;4;8.889;0;0.000;0;0.000;193;19.052
352;17;37.778;40;33.333;50;23.810;58;23.016;51;24.286;39;32.500;19;42.222;2;20.000;0;0.000;276;27.246
353;9;20.000;19;15.833;31;14.762;13;5.159;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;73;7.206
354;10;22.222;24;20.000;41;19.524;52;20.635;43;20.476;26;21.667;6;13.333;0;0.000;0;0.000;202;19.941
356;4;8.889;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
357;3;6.667;5;4.167;9;4.286;9;3.571;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;29;2.863
358;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
360;5;11.111;6;5.000;8;3.810;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;1.974
361;8;17.778;23;19.167;26;12.381;14;5.556;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;80;7.897
362;5;11.111;9;7.500;10;4.762;5;1.984;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;29;2.863
365;9;20.000;35;29.167;64;30.476;63;25.000;39;18.571;1;0.833;0;0.000;0;0.000;0;0.000;211;20.829
366;8;17.778;22;18.333;27;12.857;24;9.524;6;2.857;1;0.833;0;0.000;0;0.000;0;0.000;88;8.687
367;8;17.778;14;11.667;8;3.810;3;1.190;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;36;3.554
368;9;20.000;19;15.833;11;5.238;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;39;3.850
370;7;15.556;20;16.667;24;11.429;24;9.524;16;7.619;17;14.167;0;0.000;0;0.000;0;0.000;108;10.661
371;12;26.667;34;28.333;40;19.048;42;16.667;26;12.381;11;9.167;0;0.000;0;0.000;0;0.000;165;16.288
372;9;20.000;11;9.167;8;3.810;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;28;2.764
373;10;22.222;19;15.833;21;10.000;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;53;5.232
374;18;40.000;50;41.667;105;50.000;134;53.175;125;59.524;81;67.500;35;77.778;9;90.000;1;100.000;558;55.084
375;9;20.000;16;13.333;28;13.333;31;12.302;21;10.000;5;4.167;0;0.000;0;0.000;0;0.000;110;10.859
377;5;11.111;4;3.333;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;1.283
378;4;8.889;13;10.833;22;10.476;18;7.143;6;2.857;0;0.000;0;0.000;0;0.000;0;0.000;63;6.219
380;2;4.444;5;4.167;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
381;12;26.667;37;30.833;75;35.714;91;36.111;58;27.619;15;12.500;0;0.000;0;0.000;0;0.000;288;28.430
382;4;8.889;6;5.000;9;4.286;4;1.587;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
383;9;20.000;33;27.500;56;26.667;35;13.889;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;134;13.228
384;4;8.889;6;5.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
385;5;11.111;8;6.667;13;6.190;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;28;2.764
386;9;20.000;24;20.000;42;20.000;50;19.841;34;16.190;12;10.000;1;2.222;0;0.000;0;0.000;172;16.979
387;2;4.444;7;5.833;8;3.810;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;1.974
388;11;24.444;35;29.167;49;23.333;29;11.508;21;10.000;7;5.833;1;2.222;0;0.000;0;0.000;153;15.104
389;2;4.444;6;5.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
391;4;8.889;6;5.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
392;8;17.778;19;15.833;34;16.190;36;14.286;24;11.429;5;4.167;0;0.000;0;0.000;0;0.000;126;12.438
